"#","Qty","Reference","Value","Datasheet","Footprint","Description","Manufacturer","MPN"
"1","1","D1","LED","~","","Light emitting diode","",""
"2","2","C5,C7","47nF","~","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor","","TBD"
"3","1","C8","1nF","~","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor","","TBD"
"4","6","C2,C9,C10,C19,C21,C22","0.1uF","~","Capacitor_SMD:C_0603_1608Metric","Unpolarized capacitor","","TBD"
"5","2","C6,C20","4.7uF","~","Capacitor_SMD:C_0603_1608Metric","Unpolarized capacitor","","TBD"
"6","1","C1","2.2uF","~","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor","","TBD"
"7","10","C3,C4,C11,C12,C13,C14,C15,C16,C17,C18","10uF","~","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor","","TBD"
"8","2","J4,J5","JST_VH_B2P_3.96mm","~","Connector_JST:JST_VH_B2P-VH_1x02_P3.96mm_Vertical","Generic connector, single row, 01x02, script generated","",""
"9","1","J6","JST_VH_B3P_3.96mm","~","Connector_JST:JST_VH_B3P-VH_1x03_P3.96mm_Vertical","Generic connector, single row, 01x03, script generated","",""
"10","1","TP1","QON","~","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","test point","",""
"11","1","TP2","Thermistor","~","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","test point","",""
"12","2","J1,J2","CE","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated","",""
"13","1","J3","Conn_01x03_Pin","~","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","Generic connector, single row, 01x03, script generated","",""
"14","1","L1","1uH","~","Inductor_SMD:L_Bourns_SRP7028A_7.3x6.6mm","Inductor","","SPM6530T-1R0M120"
"15","1","U2","TLV73333PDBV","http://www.ti.com/lit/ds/symlink/tlv733p.pdf","Package_TO_SOT_SMD:SOT-23-5","300mA Capacitor-Free Low Dropout Voltage Regulator, Fixed Output 3.3V, SOT-23-5","",""
"16","1","U3","MSPM0C1104SDSGR","https://www.ti.com/lit/gpn/mspm0c1104","Package_TO_SOT_SMD:TSOT-23-8","","",""
"17","5","R2,R9,R10,R11,R12","4.7kR","~","Resistor_SMD:R_0402_1005Metric","Resistor","","TBD"
"18","1","R3","5.24kR","~","Resistor_SMD:R_0402_1005Metric","Resistor","","TBD"
"19","1","R4","30.31kR","~","Resistor_SMD:R_0402_1005Metric","Resistor","","TBD"
"20","1","R5","6.04kR","~","Resistor_SMD:R_0402_1005Metric","Resistor","","TBD"
"21","1","R6","100R","~","Resistor_SMD:R_0402_1005Metric","Resistor","","TBD"
"22","1","R7","127kR","~","Resistor_SMD:R_0402_1005Metric","Resistor","","TBD"
"23","1","R8","100kR","~","Resistor_SMD:R_0402_1005Metric","Resistor","","TBD"
"24","1","R1","2R-1W","~","Resistor_SMD:R_2010_5025Metric","Resistor","","TBD"
"25","1","U1","BQ25672RQMR","https://www.ti.com/lit/gpn/bq25672","solar_station:RQM0029A-MFG","","","TBD"
