Row,Quantity Per PCB,References,Value,Datasheet,Footprint,Description,Manufacturer,MPN,Supplier Part Number
1,1,C8,1nF,~,C_0402_1005Metric,Unpolarized capacitor,,TBD,
2,2,C5 C7,47nF,~,C_0402_1005Metric,Unpolarized capacitor,,TBD,
3,15,C2 C9 C10 C19 C21 C22 C23 C24 C25 C26 C27 C28 C31 C32 C33,0.1uF,~,C_0603_1608Metric,Unpolarized capacitor,,TBD,
4,2,C29 C30,1uF,~,C_0603_1608Metric,Unpolarized capacitor,,TBD,
5,1,C1,2.2uF,~,C_0805_2012Metric,Unpolarized capacitor,,TBD,
6,2,C6 C20,4.7uF,~,C_0603_1608Metric,Unpolarized capacitor,,TBD,
7,10,C3 C4 C11 C12 C13 C14 C15 C16 C17 C18,10uF,~,C_1206_3216Metric,Unpolarized capacitor,,TBD,
8,1,D1,LED,~,,Light emitting diode,,,
9,1,D2,Schottky_30V_1A,,DIO_RB02_ROM,DIODE SCHOTTKY 30V 1A TUMD2M,,RSX101VYM30FHTR,
10,8,J1 J2 J3 J4 J5 J6 J7 J8,CE,~,PinHeader_1x02_P2.54mm_Vertical,"Generic connector, single row, 01x02, script generated Generic connector, single row, 01x03, script generated",,,
11,1,L1,1uH,~,L_Bourns_SRP7028A_7.3x6.6mm,Inductor,,SPM6530T-1R0M120,
12,2,Q1 Q2,AO3400A,http://www.aosmd.com/pdfs/datasheet/AO3400A.pdf,SOT-23,"30V Vds, 5.7A Id, N-Channel MOSFET, SOT-23",,,
13,1,R21,10mR,~,R_0805_2012Metric,Resistor,,TBD,
14,3,R6 R20 R22,100R,~,R_0402_1005Metric,Resistor,,TBD,
15,7,R13 R14 R15 R16 R17 R18 R19,1kR,~,R_0402_1005Metric,Resistor,,TBD,
16,6,R2 R9 R10 R11 R12 R23,4.7kR,~,R_0402_1005Metric,Resistor,,TBD,
17,1,R3,5.24kR,~,R_0402_1005Metric,Resistor,,TBD,
18,1,R5,6.04kR,~,R_0402_1005Metric,Resistor,,TBD,
19,2,R27 R30,10kR,~,R_0402_1005Metric,Resistor,,TBD,
20,1,R4,30.31kR,~,R_0402_1005Metric,Resistor,,TBD,
21,2,R8 R28,100kR,~,R_0402_1005Metric,Resistor,,TBD,
22,1,R7,127kR,~,R_0402_1005Metric,Resistor,,TBD,
23,1,R29,450kR,~,R_0402_1005Metric,Resistor,,TBD,
24,2,R24 R25,1MegR,~,R_0402_1005Metric,Resistor,,TBD,
25,1,R26,3.3MegR,~,R_0402_1005Metric,Resistor,,TBD,
26,1,R1,2R-1W,~,R_2010_5025Metric,Resistor,,TBD,
27,1,U1,BQ25672RQMR,https://www.ti.com/lit/gpn/bq25672,RQM0029A-MFG,,,TBD,
28,1,U4,BQ7791500PWR,https://www.ti.com/lit/gpn/bq77915,PW24_TEX,,,TBD,
29,1,U5,CSD25402Q3A,https://www.ti.com/lit/ds/symlink/csd25402q3a.pdf,VSON-8_3.3x3.3mm_P0.65mm_NexFET,"-76A Id, -20V Vds, NexFET P-Channel Power MOSFET, 7.7mOhm Ron, Qg (typ) 7.5 nC, VSON-8 3.3x3.3mm",,,
30,1,U3,MSPM0C1104SDSGR,https://www.ti.com/lit/gpn/mspm0c1104,TSOT-23-8,,,,
31,1,U2,TLV73333PDBV,http://www.ti.com/lit/ds/symlink/tlv733p.pdf,SOT-23-5,"300mA Capacitor-Free Low Dropout Voltage Regulator, Fixed Output 3.3V, SOT-23-5",,,
